epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4760.78,0.80066,1.06603,0.36049,0.77859,0.92969,0.8726,0.95608,0.72768,0.55534,0.53973,0.48766,0.13475,0.90566,1.69931,0.52247,0.77278,0.00029225,0.00029225,0.00029225
71,4817.31,0.79721,1.09495,0.36181,0.77624,0.94624,0.86798,0.95373,0.73233,0.56202,0.5379,0.48969,0.13516,0.88343,1.69886,0.5322,0.77202,0.0002675,0.0002675,0.0002675
72,4873.26,0.77483,1.05847,0.35389,0.77285,0.91697,0.87749,0.95179,0.73197,0.55283,0.53836,0.4845,0.1354,0.8849,1.75866,0.52053,0.77172,0.00024275,0.00024275,0.00024275
73,4928.9,0.76481,1.02826,0.36886,0.76937,0.93106,0.87945,0.95702,0.73389,0.57141,0.54795,0.49711,0.14211,0.88352,1.76419,0.54844,0.77174,0.000218,0.000218,0.000218
74,4984.64,0.76039,1.0529,0.35895,0.77566,0.93238,0.85205,0.94521,0.72429,0.55252,0.51507,0.46514,0.12659,0.8946,1.75118,0.51032,0.77493,0.00019325,0.00019325,0.00019325
75,5040.25,0.7601,1.0443,0.35452,0.77437,0.93656,0.87397,0.95497,0.73727,0.56577,0.52877,0.47671,0.13284,0.88368,1.75936,0.51823,0.77399,0.0001685,0.0001685,0.0001685
76,5095.11,0.75886,1.03582,0.34783,0.77359,0.92509,0.87966,0.95555,0.73324,0.56053,0.53288,0.47492,0.13282,0.89336,1.7477,0.51231,0.77403,0.00014375,0.00014375,0.00014375
77,5149.93,0.75681,1.06196,0.34642,0.7743,0.92491,0.87741,0.95643,0.73706,0.56988,0.55205,0.49272,0.13706,0.87679,1.71412,0.503,0.77283,0.000119,0.000119,0.000119
78,5204.36,0.76434,1.06809,0.3449,0.77488,0.9335,0.86533,0.95521,0.73767,0.55949,0.53562,0.489,0.13784,0.86568,1.75048,0.51362,0.77288,9.425e-05,9.425e-05,9.425e-05
79,5259.06,0.74491,1.01599,0.34324,0.77413,0.94357,0.87039,0.95753,0.74074,0.58458,0.53589,0.49834,0.14329,0.87318,1.70708,0.52468,0.7724,6.95e-05,6.95e-05,6.95e-05
80,5316.2,0.74171,1.00686,0.34047,0.77331,0.93691,0.87476,0.9568,0.74472,0.56936,0.53151,0.48741,0.13809,0.86905,1.72729,0.52288,0.77315,4.475e-05,4.475e-05,4.475e-05
