epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1208.79,0.81874,1.09212,0.38849,0.77973,0.92836,0.87424,0.9562,0.72474,0.6013,0.57296,0.4862,0.1401,0.79555,1.06566,0.41334,0.77539,0.000845,0.000845,0.000845
72,1225.66,0.81984,1.09296,0.39908,0.78159,0.92783,0.88996,0.9665,0.73192,0.57151,0.55895,0.50111,0.14875,0.82191,1.11532,0.41951,0.776,0.0008285,0.0008285,0.0008285
73,1242.39,0.80591,1.06292,0.39451,0.78075,0.9287,0.89782,0.96961,0.72198,0.59089,0.58908,0.50299,0.16306,0.85083,1.08499,0.41705,0.77589,0.000812,0.000812,0.000812
74,1259.24,0.81101,1.09638,0.38863,0.77918,0.93264,0.88297,0.96368,0.74391,0.55495,0.53624,0.47124,0.1395,0.78796,1.06132,0.40801,0.7761,0.0007955,0.0007955,0.0007955
75,1275.99,0.81223,1.10488,0.38707,0.77938,0.92612,0.88681,0.96276,0.73142,0.54838,0.55358,0.47665,0.13704,0.81433,1.1243,0.40811,0.77702,0.000779,0.000779,0.000779
76,1292.8,0.83027,1.07959,0.39455,0.7812,0.92518,0.88035,0.95996,0.7246,0.57715,0.55633,0.49275,0.14687,0.82112,1.03071,0.42412,0.77543,0.0007625,0.0007625,0.0007625
77,1309.5,0.79487,1.02083,0.39078,0.78062,0.91653,0.89189,0.95913,0.71814,0.5735,0.55808,0.46673,0.14069,0.85512,1.02367,0.41411,0.77686,0.000746,0.000746,0.000746
78,1326.5,0.79156,1.03816,0.38625,0.78052,0.9353,0.88375,0.96367,0.72848,0.58921,0.55869,0.48159,0.1416,0.81946,1.05946,0.40013,0.77492,0.0007295,0.0007295,0.0007295
79,1343.35,0.8003,1.07688,0.38442,0.77775,0.9335,0.88276,0.964,0.73276,0.59016,0.55808,0.4991,0.15268,0.81226,1.0477,0.4154,0.77474,0.000713,0.000713,0.000713
80,1360.09,0.79479,1.02548,0.38514,0.78057,0.94092,0.87948,0.96293,0.73872,0.59046,0.55025,0.48722,0.14954,0.80443,1.03305,0.39778,0.77553,0.0006965,0.0006965,0.0006965
81,1376.79,0.79548,1.02869,0.37494,0.78152,0.92479,0.90211,0.96584,0.73663,0.57624,0.58432,0.50579,0.15301,0.79789,1.05711,0.39931,0.7757,0.00068,0.00068,0.00068
82,1393.55,0.76749,1.0329,0.36854,0.77679,0.9172,0.8786,0.9585,0.73012,0.58407,0.54323,0.48308,0.14049,0.79406,1.02548,0.41216,0.77645,0.0006635,0.0006635,0.0006635
83,1411.05,0.77863,1.02339,0.36851,0.78199,0.92535,0.87162,0.95409,0.71817,0.54652,0.51441,0.44969,0.12532,0.82226,1.08849,0.4162,0.77685,0.000647,0.000647,0.000647
84,1428.1,0.77389,1.03087,0.37124,0.77662,0.94387,0.88035,0.96652,0.72155,0.5953,0.56157,0.48614,0.15006,0.84589,1.11698,0.39642,0.77494,0.0006305,0.0006305,0.0006305
85,1444.78,0.78916,0.99601,0.37435,0.77898,0.9378,0.87511,0.96191,0.73902,0.58825,0.56149,0.49848,0.15592,0.805,1.04708,0.3955,0.77564,0.000614,0.000614,0.000614
86,1461.79,0.81661,1.0965,0.38581,0.7785,0.9323,0.88821,0.9621,0.72401,0.60556,0.57031,0.51102,0.15504,0.80518,1.0579,0.39772,0.77466,0.0005975,0.0005975,0.0005975
87,1478.29,0.78263,1.0827,0.37035,0.78114,0.93447,0.87183,0.96117,0.73152,0.5677,0.54585,0.47328,0.13879,0.81537,1.06324,0.41411,0.77535,0.000581,0.000581,0.000581
88,1495.13,0.78606,1.01058,0.37829,0.78124,0.94153,0.86987,0.96008,0.73711,0.56904,0.55109,0.47381,0.13638,0.78633,1.01689,0.41024,0.77689,0.0005645,0.0005645,0.0005645
89,1511.59,0.79423,1.04587,0.37668,0.77782,0.92822,0.87511,0.95929,0.72715,0.57463,0.54625,0.50105,0.14774,0.8099,1.04918,0.4229,0.77557,0.000548,0.000548,0.000548
90,1528.61,0.79139,1.06957,0.38126,0.77696,0.92035,0.89813,0.96715,0.73823,0.55314,0.56507,0.48242,0.13795,0.7799,1.08374,0.38717,0.77423,0.0005315,0.0005315,0.0005315
91,1545.38,0.78254,1.06256,0.36467,0.7779,0.91908,0.91256,0.96641,0.74251,0.56938,0.57623,0.50085,0.14744,0.7756,1.05696,0.39347,0.77366,0.000515,0.000515,0.000515
92,1562.2,0.77908,0.98415,0.374,0.77835,0.92766,0.88297,0.96103,0.74197,0.56746,0.55546,0.50577,0.15225,0.77992,1.05334,0.40292,0.77508,0.0004985,0.0004985,0.0004985
93,1578.99,0.75521,0.99108,0.36456,0.77766,0.92927,0.88349,0.96312,0.74192,0.56825,0.53106,0.47547,0.13951,0.78934,1.05072,0.39575,0.77586,0.000482,0.000482,0.000482
94,1595.84,0.76252,0.98565,0.36623,0.77491,0.91868,0.89694,0.9643,0.73114,0.58241,0.57205,0.50638,0.15369,0.80738,1.02723,0.411,0.77405,0.0004655,0.0004655,0.0004655
