epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1820.38,0.44458,0.5685,0.34887,0.85986,0.99872,1,0.995,0.93082,0.99872,1,0.995,0.92505,0.4866,0.55392,0.25864,0.87463,0.0006965,0.0006965,0.0006965
81,1843.11,0.41689,0.55003,0.30643,0.85108,0.99875,1,0.995,0.93193,0.99875,1,0.995,0.93016,0.3746,0.50549,0.2217,0.81993,0.00068,0.00068,0.00068
82,1865.67,0.42983,0.56109,0.34524,0.85637,0.99868,1,0.995,0.94904,0.99868,1,0.995,0.94548,0.37639,0.50492,0.23511,0.8204,0.0006635,0.0006635,0.0006635
83,1888.76,0.41486,0.59459,0.32163,0.85403,0.99869,1,0.995,0.94493,0.99869,1,0.995,0.94492,0.37138,0.55684,0.2214,0.82237,0.000647,0.000647,0.000647
84,1911.37,0.40627,0.57107,0.29416,0.85632,0.99876,1,0.995,0.94025,0.99876,1,0.995,0.93736,0.36994,0.52587,0.21203,0.81536,0.0006305,0.0006305,0.0006305
85,1934.2,0.42421,0.57313,0.36111,0.86835,0.99873,1,0.995,0.9417,0.99873,1,0.995,0.94731,0.41539,0.53531,0.23396,0.84885,0.000614,0.000614,0.000614
86,1956.93,0.41302,0.59146,0.31763,0.86676,0.99872,1,0.995,0.94802,0.99872,1,0.995,0.94514,0.34482,0.54535,0.20665,0.81504,0.0005975,0.0005975,0.0005975
87,1979.58,0.39571,0.56274,0.29711,0.85333,0.99871,1,0.995,0.95114,0.99871,1,0.995,0.92898,0.35247,0.5931,0.20212,0.8106,0.000581,0.000581,0.000581
88,2002.61,0.40838,0.55642,0.30394,0.86154,0.99872,1,0.995,0.95334,0.99872,1,0.995,0.94264,0.35009,0.52191,0.20832,0.81005,0.0005645,0.0005645,0.0005645
89,2025.67,0.41061,0.56671,0.32563,0.8583,0.99872,1,0.995,0.95338,0.99872,1,0.995,0.94394,0.34811,0.53757,0.19926,0.80976,0.000548,0.000548,0.000548
